server_bandwidth_Bps,server_bandwidth_GiB_s,client_bandwidth_Bps,client_bandwidth_GiB_s,run,backend,kernel,mtu,read_bytes,duration,num_sockets,num_workers,num_ssds,request_size,stripe_size,reg_ring,reg_fds,reg_bufs,napi,send_zc,pin_queues,server,client
11374305960,10.5931,11391249610,10.6089,0,io_uring,6.15.0-rc7,9000,,30000,32,32,8,4096,4096,True,True,True,False,True,False,fn01,fn03
11365558450,10.585,11383504890,10.6017,0,io_uring,6.15.0-rc7,9000,,30000,32,64,8,4096,4096,True,True,True,False,True,False,fn01,fn03
9772892049,9.10171,9770401666,9.0994,0,io_uring,6.15.0-rc7,9000,,30000,32,4,8,65536,65536,False,False,False,False,False,False,fn01,fn03
13795403778,12.848,13791244472,12.8441,0,io_uring,6.15.0-rc7,9000,,30000,32,4,8,524288,524288,False,False,False,False,False,False,fn01,fn03
15976115615,14.8789,15969121396,14.8724,0,io_uring,6.15.0-rc7,9000,,30000,32,8,8,65536,65536,False,False,False,False,False,False,fn01,fn03
20076864945,18.698,20079397579,18.7004,0,io_uring,6.15.0-rc7,9000,,30000,32,8,8,524288,524288,False,False,False,False,False,False,fn01,fn03
25796708633,24.0251,25788926803,24.0178,0,io_uring,6.15.0-rc7,9000,,30000,32,16,8,65536,65536,False,False,False,False,False,False,fn01,fn03
31593010124,29.4233,31600667477,29.4304,0,io_uring,6.15.0-rc7,9000,,30000,32,16,8,524288,524288,False,False,False,False,False,False,fn01,fn03
49353440506,45.964,49345430408,45.9565,0,io_uring,6.15.0-rc7,9000,,30000,32,32,8,65536,65536,False,False,False,False,False,False,fn01,fn03
49237650313,45.8561,49296297014,45.9108,0,io_uring,6.15.0-rc7,9000,,30000,32,32,8,524288,524288,False,False,False,False,False,False,fn01,fn03
49393711571,46.0015,49420163864,46.0261,0,io_uring,6.15.0-rc7,9000,,30000,32,64,8,65536,65536,False,False,False,False,False,False,fn01,fn03
49283035870,45.8984,49441509365,46.046,0,io_uring,6.15.0-rc7,9000,,30000,32,64,8,524288,524288,False,False,False,False,False,False,fn01,fn03
2692786835,2.50785,2779512047,2.58862,0,epoll_libaio,6.15.0-rc7,9000,,30000,32,1,8,65536,65536,False,False,False,False,False,False,fn01,fn03
4516768935,4.20657,4662353991,4.34216,0,epoll_libaio,6.15.0-rc7,9000,,30000,32,1,8,524288,524288,False,False,False,False,False,False,fn01,fn03
5114866414,4.76359,5283013462,4.92019,0,epoll_libaio,6.15.0-rc7,9000,,30000,32,2,8,65536,65536,False,False,False,False,False,False,fn01,fn03
8553142354,7.96573,8835629280,8.22882,0,epoll_libaio,6.15.0-rc7,9000,,30000,32,2,8,524288,524288,False,False,False,False,False,False,fn01,fn03
8790849202,8.18712,9084840735,8.46092,0,epoll_libaio,6.15.0-rc7,9000,,30000,32,4,8,65536,65536,False,False,False,False,False,False,fn01,fn03
12980907871,12.0894,13414653653,12.4934,0,epoll_libaio,6.15.0-rc7,9000,,30000,32,4,8,524288,524288,False,False,False,False,False,False,fn01,fn03
14828259251,13.8099,15318913962,14.2669,0,epoll_libaio,6.15.0-rc7,9000,,30000,32,8,8,65536,65536,False,False,False,False,False,False,fn01,fn03
19211594486,17.8922,19866974309,18.5026,0,epoll_libaio,6.15.0-rc7,9000,,30000,32,8,8,524288,524288,False,False,False,False,False,False,fn01,fn03
23876578304,22.2368,24692419883,22.9966,0,epoll_libaio,6.15.0-rc7,9000,,30000,32,16,8,65536,65536,False,False,False,False,False,False,fn01,fn03
30295398913,28.2148,31354115206,29.2008,0,epoll_libaio,6.15.0-rc7,9000,,30000,32,16,8,524288,524288,False,False,False,False,False,False,fn01,fn03
47735223571,44.4569,49396474329,46.0041,0,epoll_libaio,6.15.0-rc7,9000,,30000,32,32,8,65536,65536,False,False,False,False,False,False,fn01,fn03
