run,cycles,runtime,ops_per_sec,kernel,mitigations,node,ssd,core_id,reg_ring,reg_fds,reg_bufs,iopoll,duration,perfevent,measure_lat,pin_iowq,max_workers,setup_mode,write_size,method,ioworker,lat_avg,lat_min,lat_max,lat_std,lat_samples,ops_avg,ops_min,ops_max,ops_std,ops_samples
0,66007605044,27.5032,254.116,6.8.0-63-generic,True,c08,/dev/nvme3n1,32,True,True,False,True,30000,False,True,False,0,defer,4096,write_sync,0,3931332.746887967,3881055,3984496,26532.87407153813,241,23.311203319502074,23,24,0.46298575942782977,241
0,66006193360,27.5026,254.158,6.8.0-63-generic,True,c08,/dev/nvme3n1,32,True,True,False,True,30000,False,True,False,0,defer,4096,write_dsync,0,3929239.6887966804,3881053,3982835,29366.10530730539,241,23.319502074688796,23,24,0.46628371080100073,241
0,66002300950,27.501,592.343,6.8.0-63-generic,True,c08,/dev/nvme3n1,32,True,True,False,True,30000,False,True,False,0,defer,4096,fsync_link2,0,1691020.9626556016,1607140,1749485,36683.12169600279,241,54.48547717842324,54,55,0.49978904315065714,241
0,66007560986,27.5032,104569,6.8.0-63-generic,True,c08,/dev/ng3n1,32,True,True,False,True,30000,False,True,False,0,defer,4096,nvme_passthru,0,9507.858921161825,9351,9753,109.52244892602211,241,9603.842323651452,9491,9657,58.44151626041552,241
0,66007089726,27.503,628.369,6.8.0-63-generic,True,c08,/dev/ng3n1,32,True,True,False,True,30000,False,True,False,0,defer,4096,nvme_passthru_flush,0,1585469.6970954356,1549854,1616252,18593.89559500309,241,57.7551867219917,57,58,0.4299764376324942,241
0,66007690690,27.5032,99427.8,6.8.0-63-generic,True,c08,/dev/nvme3n1,32,True,True,False,True,30000,False,True,False,0,sqpoll,4096,none,0,10080.045643153528,9927,10296,93.83694027772825,241,9137.829875518672,9109,9156,12.659935316784534,241
0,66007797574,27.5032,254.624,6.8.0-63-generic,True,c08,/dev/nvme3n1,32,True,True,False,True,30000,False,True,False,0,sqpoll,4096,open_sync,0,3921374.510373444,3851455,3980342,31718.553518728306,241,23.369294605809127,23,24,0.4826138206987124,241
0,66007720614,27.5032,254.043,6.8.0-63-generic,True,c08,/dev/nvme3n1,32,True,True,False,True,30000,False,True,False,0,sqpoll,4096,open_dsync,0,3927069.1701244814,3865557,3989680,32238.242642303005,241,23.29875518672199,23,24,0.457712273299176,241
0,66007600842,27.5032,254.153,6.8.0-63-generic,True,c08,/dev/nvme3n1,32,True,True,False,True,30000,False,True,False,0,sqpoll,4096,write_sync,0,3928650.2489626557,3866152,3987865,30606.48146535395,241,23.315352697095435,23,24,0.4646561885201467,241
0,66008132074,27.5034,254.187,6.8.0-63-generic,True,c08,/dev/nvme3n1,32,True,True,False,True,30000,False,True,False,0,sqpoll,4096,write_dsync,0,3924975.0290456433,3863660,3981444,31248.946932815907,241,23.319502074688796,23,24,0.46628371080100073,241
0,66002398922,27.501,610.051,6.8.0-63-generic,True,c08,/dev/nvme3n1,32,True,True,False,True,30000,False,True,False,0,sqpoll,4096,fsync_link2,0,1634532.7178423237,1582029,1685145,29350.928995654278,241,56.053941908713696,55,57,0.6451181344635913,241
0,66008021944,27.5033,101693,6.8.0-63-generic,True,c08,/dev/ng3n1,32,True,True,False,True,30000,False,True,False,0,sqpoll,4096,nvme_passthru,0,9846.933609958507,9620,10153,137.07978319816894,241,9334.058091286308,9309,9354,10.653576868416161,241
0,66007967470,27.5033,610.763,6.8.0-63-generic,True,c08,/dev/ng3n1,32,True,True,False,True,30000,False,True,False,0,sqpoll,4096,nvme_passthru_flush,0,1584625.7012448134,1551898,1614205,17096.816773974668,241,56.20746887966805,53,58,1.763656325626861,241
1,65999936726,27.5,87703.4,6.8.0-63-generic,True,c08,/dev/nvme3n1,32,True,True,False,False,30000,False,True,False,0,defer,4096,none,0,12117.70539419087,11305,15635,1166.488136655686,241,8044.016597510374,7994,8124,31.240064552371564,241
1,66001625836,27.5007,594.058,6.8.0-63-generic,True,c08,/dev/nvme3n1,32,True,True,False,False,30000,False,True,False,0,defer,4096,fsync_link,1,1676387.643153527,1619860,1760122,39389.33283096467,241,54.614107883817425,54,55,0.48680529049170007,241
1,66002336980,27.501,590.525,6.8.0-63-generic,True,c08,/dev/nvme3n1,32,True,True,False,False,30000,False,True,False,0,defer,4096,fsync_link2,1,1682994.8008298755,1620569,1767490,40738.36057819872,241,54.32780082987552,53,55,0.5197499176803897,241
1,66001147372,27.5005,248.359,6.8.0-63-generic,True,c08,/dev/nvme3n1,32,True,True,False,False,30000,False,True,False,0,defer,4096,open_sync,0,4020778.406639004,3969909,4074940,31349.078657082136,241,22.887966804979254,22,23,0.31540728944364954,241
1,66003392366,27.5014,248.387,6.8.0-63-generic,True,c08,/dev/nvme3n1,32,True,True,False,False,30000,False,True,False,0,defer,4096,open_dsync,0,4015984.7593360995,3967568,4076192,31117.315272360956,241,22.883817427385893,22,23,0.3204437274075987,241
1,66000433782,27.5002,248.326,6.8.0-63-generic,True,c08,/dev/nvme3n1,32,True,True,False,False,30000,False,True,False,0,defer,4096,write_sync,0,4022811.1493775933,3971626,4082649,31719.1861879497,241,22.883817427385893,22,23,0.3204437274075987,241
1,66000441046,27.5002,248.326,6.8.0-63-generic,True,c08,/dev/nvme3n1,32,True,True,False,False,30000,False,True,False,0,defer,4096,write_dsync,0,4019870.8838174273,3968125,4081577,33687.91617950897,241,22.883817427385893,22,23,0.3204437274075987,241
1,65999928350,27.5,91234.4,6.8.0-63-generic,True,c08,/dev/ng3n1,32,True,True,False,False,30000,False,True,False,0,defer,4096,nvme_passthru,0,11167.730290456431,10878,11458,142.9149337686811,241,8370.43153526971,8314,8464,37.22206102707812,241
1,66000373882,27.5002,602.469,6.8.0-63-generic,True,c08,/dev/ng3n1,32,True,True,False,False,30000,False,True,False,0,defer,4096,nvme_passthru_flush,0,1653457.232365145,1577910,1718240,38350.64779227445,241,55.41078838174274,55,56,0.4919769173121039,241
1,66002537176,27.5011,99223.7,6.8.0-63-generic,True,c08,/dev/nvme3n1,32,True,True,False,False,30000,False,True,False,0,sqpoll,4096,none,0,10098.535269709544,9914,10399,125.68411880067899,241,9123.190871369294,9089,9160,22.78778335413676,241


