tag,method,iodirect,ms
large_2w_256io_mode3,io_uring,data+wal,13906.773
large_2w_256io_mode4,io_uring,data+wal,13020.935
large_2w_256io_mode4,io_uring,data+wal,13007.194
large_2w_256io_mode4,io_uring,data+wal,13042.205
large_2w_256io_mode4,io_uring,data+wal,13031.060
large_2w_256io_mode4,io_uring,data+wal,13039.609
large_2w_256io_mode4,io_uring,data+wal,12977.046
large_2w_256io_mode4,io_uring,data+wal,13065.761
large_2w_256io_mode4,io_uring,data+wal,13001.802
large_2w_256io_mode4,io_uring,data+wal,12977.984
large_2w_256io_mode4,io_uring,data+wal,13309.495
large_2w_256io_mode5,io_uring,data+wal,12974.588
large_2w_256io_mode5,io_uring,data+wal,13091.400
large_2w_256io_mode5,io_uring,data+wal,12999.304
large_2w_256io_mode5,io_uring,data+wal,12975.163
large_2w_256io_mode5,io_uring,data+wal,12993.628
large_2w_256io_mode5,io_uring,data+wal,13051.837
large_2w_256io_mode5,io_uring,data+wal,13232.287
large_2w_256io_mode5,io_uring,data+wal,13863.265
large_2w_256io_mode5,io_uring,data+wal,13120.425
large_2w_256io_mode5,io_uring,data+wal,12940.041
large_2w_256io_mode6,io_uring,data+wal,14253.181
large_2w_256io_mode6,io_uring,data+wal,12990.115
large_2w_256io_mode6,io_uring,data+wal,13031.109
large_2w_256io_mode6,io_uring,data+wal,12961.570
large_2w_256io_mode6,io_uring,data+wal,13000.040
large_2w_256io_mode6,io_uring,data+wal,13107.160
large_2w_256io_mode6,io_uring,data+wal,12993.095
large_2w_256io_mode6,io_uring,data+wal,13227.249
large_2w_256io_mode6,io_uring,data+wal,13032.246
large_2w_256io_mode6,io_uring,data+wal,12993.630
large_2w_256io_mode7,io_uring,data+wal,13878.024
large_2w_256io_mode7,io_uring,data+wal,14286.796
large_2w_256io_mode7,io_uring,data+wal,14588.746
large_2w_256io_mode7,io_uring,data+wal,13956.323
large_2w_256io_mode7,io_uring,data+wal,14052.439
large_2w_256io_mode7,io_uring,data+wal,13997.142
large_2w_256io_mode7,io_uring,data+wal,13972.680
large_2w_256io_mode7,io_uring,data+wal,14009.826
large_2w_256io_mode7,io_uring,data+wal,13928.931
large_2w_256io_mode7,io_uring,data+wal,14024.379
large_4w_256io_mode0,io_uring,data+wal,7753.900
large_4w_256io_mode0,io_uring,data+wal,7684.019
large_4w_256io_mode0,io_uring,data+wal,7761.875
large_4w_256io_mode0,io_uring,data+wal,7888.360
large_4w_256io_mode0,io_uring,data+wal,9515.075
large_4w_256io_mode0,io_uring,data+wal,7766.739
large_4w_256io_mode0,io_uring,data+wal,7763.622
large_4w_256io_mode0,io_uring,data+wal,7971.986
large_4w_256io_mode0,io_uring,data+wal,7675.995
large_4w_256io_mode0,io_uring,data+wal,7706.075
large_4w_256io_mode1,io_uring,data+wal,7844.550
large_4w_256io_mode1,io_uring,data+wal,7830.022
large_4w_256io_mode1,io_uring,data+wal,7752.300
large_4w_256io_mode1,io_uring,data+wal,7627.939
large_4w_256io_mode1,io_uring,data+wal,7571.545
large_4w_256io_mode1,io_uring,data+wal,7796.499
large_4w_256io_mode1,io_uring,data+wal,7610.518
large_4w_256io_mode1,io_uring,data+wal,7806.408
large_4w_256io_mode1,io_uring,data+wal,7791.200
large_4w_256io_mode1,io_uring,data+wal,7687.263
large_4w_256io_mode2,io_uring,data+wal,7356.359
large_4w_256io_mode2,io_uring,data+wal,7675.272
large_4w_256io_mode2,io_uring,data+wal,7380.705
large_4w_256io_mode2,io_uring,data+wal,7445.342
large_4w_256io_mode2,io_uring,data+wal,7434.045
large_4w_256io_mode2,io_uring,data+wal,7393.526
large_4w_256io_mode2,io_uring,data+wal,7480.449
large_4w_256io_mode2,io_uring,data+wal,7392.913
large_4w_256io_mode2,io_uring,data+wal,7435.218
large_4w_256io_mode2,io_uring,data+wal,7408.409
large_4w_256io_mode3,io_uring,data+wal,7381.411
large_4w_256io_mode3,io_uring,data+wal,7350.100
large_4w_256io_mode3,io_uring,data+wal,7375.954
large_4w_256io_mode3,io_uring,data+wal,7358.152
large_4w_256io_mode3,io_uring,data+wal,7486.518
large_4w_256io_mode3,io_uring,data+wal,7768.544
large_4w_256io_mode3,io_uring,data+wal,7239.562
large_4w_256io_mode3,io_uring,data+wal,7339.066
large_4w_256io_mode3,io_uring,data+wal,7318.296
large_4w_256io_mode3,io_uring,data+wal,7338.366
large_4w_256io_mode4,io_uring,data+wal,6939.688
large_4w_256io_mode4,io_uring,data+wal,6863.424
large_4w_256io_mode4,io_uring,data+wal,7131.876
large_4w_256io_mode4,io_uring,data+wal,6936.165
large_4w_256io_mode4,io_uring,data+wal,6977.103
large_4w_256io_mode4,io_uring,data+wal,7031.146
large_4w_256io_mode4,io_uring,data+wal,6987.761
large_4w_256io_mode4,io_uring,data+wal,6918.324
large_4w_256io_mode4,io_uring,data+wal,7092.855
large_4w_256io_mode4,io_uring,data+wal,6932.216
large_4w_256io_mode5,io_uring,data+wal,7145.055
