run,duration,connections,workload,flags,kernel,mitigations,mtu,node,core_id,num_threads,size,pin_queues,bw_avg,bw_min,bw_max,bw_std,bw_samples,perf_cycles,perf_kcycles,perf_instructions,perf_L1-misses,perf_LLC-misses,perf_branch-misses,perf_task-clock,perf_scale,perf_IPC,perf_CPUs,perf_GHz
0,30000,1,send,RF----,6.15.0,True,9000,fn05,3,1,16384,True,3692003328.0,0,4261412864,1421326096.524474,31,0.8641,0.8446,0.6080,0.0686,0.0017,0.0127,0.2352,127236341760,0.7037,0.9998,3.6736
0,30000,1,send,RF---Z,6.15.0,True,9000,fn05,3,1,16384,True,6123683840.0,6098518016,6148849664,13959487.510969581,26,0.5993,0.5881,0.5929,0.0071,0.0010,0.0113,0.1631,183429529600,0.9893,0.9993,3.6746
0,30000,1,send,RFB--Z,6.15.0,True,9000,fn05,3,1,16384,True,6928022291.692307,6476005376,7256145920,236492457.19147322,26,0.4935,0.4838,0.4649,0.0051,0.0013,0.0084,0.1348,208522313728,0.9419,0.9391,3.6605
0,30000,1,send,------,6.15.0,True,9000,fn05,3,1,8192,True,2418680600.774194,0,2793406464,931420132.523683,31,1.3185,1.2889,0.9858,0.0646,0.0023,0.0215,0.3589,83376095232,0.7476,0.9996,3.6737
0,30000,1,send,RF----,6.15.0,True,9000,fn05,3,1,8192,True,2912782808.6153846,2902458368,2919235584,5843236.631758511,26,1.2608,1.2347,0.9525,0.0635,0.0023,0.0202,0.3432,87214784512,0.7554,0.9998,3.6739
0,30000,1,send,RF---Z,6.15.0,True,9000,fn05,3,1,8192,True,3175410766.769231,3154116608,3187671040,9079859.807580208,26,1.1567,1.1354,1.0553,0.0113,0.0016,0.0209,0.3148,95071174656,0.9123,0.9996,3.6750
0,30000,1,send,RFB--Z,6.15.0,True,9000,fn05,3,1,8192,True,3643236982.1538463,3615490048,3657433088,11101774.546725526,26,1.0077,0.9883,0.8892,0.0103,0.0016,0.0172,0.2742,109100335104,0.8823,0.9995,3.6750
0,30000,1,send,------,6.15.0,True,9000,fn05,3,1,4096,True,1469802429.935484,0,1694498816,565641852.2244992,31,2.1707,2.1267,1.6988,0.0705,0.0033,0.0376,0.5908,50647371776,0.7826,0.9996,3.6742
0,30000,1,send,RF----,6.15.0,True,9000,fn05,3,1,4096,True,1576430426.8387096,0,1820327936,606604393.888857,31,2.0235,1.9785,1.5989,0.0667,0.0029,0.0343,0.5507,54330327040,0.7902,0.9995,3.6741
0,30000,1,send,RF---Z,6.15.0,True,9000,fn05,3,1,4096,True,1550987660.387097,0,1786773504,596855658.438075,31,2.0568,2.0204,1.8668,0.0187,0.0022,0.0374,0.5596,53466103808,0.9076,0.9995,3.6753
0,30000,1,send,RFB--Z,6.15.0,True,9000,fn05,3,1,4096,True,2073922008.6153846,2063597568,2080374784,4828814.936607843,26,1.7707,1.7335,1.5716,0.0177,0.0023,0.0312,0.4818,62106419200,0.8875,0.9996,3.6751
0,30000,1,send,------,6.15.0,True,9000,fn05,3,1,2048,True,1088905846.1538463,1082130432,1090519040,3306063.5834974926,26,3.3726,3.2935,2.6913,0.0752,0.0045,0.0609,0.9179,32595828736,0.7980,0.9995,3.6742
0,30000,1,send,RF----,6.15.0,True,9000,fn05,3,1,2048,True,1169888177.2307692,1157627904,1174405120,4785506.304495275,26,3.1384,3.0599,2.5386,0.0717,0.0042,0.0552,0.8542,35027247104,0.8089,0.9995,3.6742
0,30000,1,send,RF---Z,6.15.0,True,9000,fn05,3,1,2048,True,987073604.2666667,0,1107296256,329288334.67990226,30,3.3393,3.2672,2.9909,0.0314,0.0033,0.0612,0.9086,32934096896,0.8957,0.9995,3.6753
0,30000,1,send,RFB--Z,6.15.0,True,9000,fn05,3,1,2048,True,1262808142.7692308,1258291200,1266679808,4181876.4052761355,26,2.9081,2.8371,2.5689,0.0289,0.0032,0.0529,0.7912,37813450752,0.8834,0.9995,3.6753
0,30000,1,send,------,6.15.0,True,9000,fn05,3,1,1024,True,662700032.0,662700032,662700032,0.0,26,5.5411,5.3985,4.4620,0.0902,0.0071,0.1026,1.5081,19841516544,0.8053,0.9996,3.6742
0,30000,1,send,RF----,6.15.0,True,9000,fn05,3,1,1024,True,625964164.1290323,0,721420288,240907411.34140232,31,5.0914,4.9535,4.2149,0.0825,0.0063,0.0925,1.3857,21594315776,0.8278,0.9996,3.6743
0,30000,1,send,RF---Z,6.15.0,True,9000,fn05,3,1,1024,True,603011859.6923077,595591168,603979776,2680038.8995948257,26,6.0890,5.9521,5.4911,0.0462,0.0055,0.1126,1.6568,18058171392,0.9018,0.9995,3.6752
0,30000,1,send,RFB--Z,6.15.0,True,9000,fn05,3,1,1024,True,653202568.5333333,0,729808896,217899949.5395649,30,5.0486,4.9136,4.5419,0.0425,0.0055,0.0936,1.3737,21785503744,0.8996,0.9994,3.6753
0,30000,1,send,------,6.15.0,True,9000,fn05,3,1,512,True,336357656.7741935,0,394264576,129573138.06829464,31,9.4714,9.1924,8.1591,0.1091,0.0088,0.1889,2.5776,11609881088,0.8615,0.9996,3.6745
0,30000,1,send,RF----,6.15.0,True,9000,fn05,3,1,512,True,418088222.72,411041792,419430400,3075314.49082497,25,8.7888,8.5197,7.6871,0.1057,0.0089,0.1693,2.3919,12511449600,0.8746,0.9996,3.6744
0,30000,1,send,RF---Z,6.15.0,True,9000,fn05,3,1,512,True,373615694.7692308,369098752,377487360,4181876.4052761355,26,9.8234,9.5602,9.5307,0.0717,0.0092,0.1936,2.6731,11192045056,0.9702,0.9994,3.6749
0,30000,1,send,RFB--Z,6.15.0,True,9000,fn05,3,1,512,True,367222998.7096774,0,427819008,141427176.280288,31,8.6786,8.4164,8.4303,0.0723,0.0126,0.1744,2.3619,12667369984,0.9714,0.9994,3.6744
0,30000,1,send,------,6.15.0,True,9000,fn05,3,1,256,True,226169777.23076922,218103808,226492416,1613193.8461538462,26,16.2447,15.7375,14.7789,0.1430,0.0106,0.3424,4.4202,6772793600,0.9098,1.0000,3.6751
0,30000,1,send,RF----,6.15.0,True,9000,fn05,3,1,256,True,242301715.69230768,234881024,243269632,2680038.8995948257,26,15.1605,14.6479,13.9973,0.1498,0.0115,0.3067,4.1257,7254630400,0.9233,0.9999,3.6746
0,30000,1,send,RF---Z,6.15.0,True,9000,fn05,3,1,256,True,162634562.06451613,0,192937984,62789228.9938983,31,19.5654,19.0426,18.9533,0.1401,0.0151,0.3860,5.3240,5620485376,0.9687,0.9996,3.6750
0,30000,1,send,RFB--Z,6.15.0,True,9000,fn05,3,1,256,True,216761630.72,209715200,218103808,3075314.49082497,25,16.9378,16.4118,16.3618,0.1387,0.0201,0.3400,4.6093,6491741184,0.9660,0.9995,3.6747
0,30000,1,send,------,6.15.0,True,9000,fn05,3,1,128,True,103379707.87096775,0,125829120,39913909.83371104,31,30.7009,29.6888,28.5418,0.2128,0.0177,0.6618,8.3539,3582258304,0.9297,0.9996,3.6751
0,30000,1,send,RF----,6.15.0,True,9000,fn05,3,1,128,True,129700785.23076923,125829120,134217728,4181876.4052761355,26,28.1981,27.1486,27.0408,0.1985,0.0153,0.5909,7.6732,3899838592,0.9590,0.9996,3.6749
0,30000,1,send,RF---Z,6.15.0,True,9000,fn05,3,1,128,True,93242604.3076923,92274688,100663296,2680038.8995948257,26,39.1105,38.0378,37.8200,0.2967,0.0289,0.7718,10.6416,2811315200,0.9670,0.9994,3.6752
0,30000,1,send,RFB--Z,6.15.0,True,9000,fn05,3,1,128,True,105502877.53846154,100663296,109051904,4144370.0296634976,26,34.6936,33.6296,33.5800,0.3255,0.0357,0.6974,9.4412,3169196032,0.9679,0.9995,3.6747
0,30000,1,send,------,6.15.0,True,9000,fn05,3,1,64,True,62269282.461538464,58720256,67108864,4144370.0296634976,26,58.5967,56.5820,56.2241,0.3242,0.0253,1.3033,15.9441,1876603840,0.9595,0.9996,3.6751
0,30000,1,send,RF----,6.15.0,True,9000,fn05,3,1,64,True,67108864.0,67108864,67108864,0.0,26,54.0178,52.0294,53.2152,0.3140,0.0238,1.1624,14.6979,2035772224,0.9851,0.9996,3.6752
