run,core_id,tcp,reg_ring,reg_fds,reg_bufs,napi,setup_mode,ping_size,resp_delay,duration,num_threads,pin_queues,rx_queue,kernel,mitigations,mtu,node,avg,min,max,std,samples
0,8,False,True,True,True,True,defer,8,0,30000,1,True,18,6.15.0,True,9000,fn05,19149.25,19010,19330,79.1534638113414,240
0,8,False,True,True,True,True,defer,8,0,30000,1,True,18,6.15.0,True,9000,fn06,19149.25,19010,19330,79.1534638113414,240
1,8,False,False,False,False,False,sqpoll,8,0,30000,1,True,10,6.15.0,True,9000,fn05,20796.583333333332,20530,21390,210.07338334231895,240
1,8,False,False,False,False,False,sqpoll,8,0,30000,1,True,10,6.15.0,True,9000,fn06,20796.583333333332,20530,21390,210.07338334231895,240
1,8,False,False,False,False,False,sqpoll,8,0,30000,1,True,18,6.15.0,True,9000,fn05,23494.25,22860,25730,542.5774330299163,240
1,8,False,False,False,False,False,sqpoll,8,0,30000,1,True,18,6.15.0,True,9000,fn06,23494.25,22860,25730,542.5774330299163,240
1,8,False,False,False,False,False,defer,8,0,30000,1,True,10,6.15.0,True,9000,fn05,25481.458333333332,25000,28030,684.6781165364414,240
1,8,False,False,False,False,False,defer,8,0,30000,1,True,10,6.15.0,True,9000,fn06,25481.458333333332,25000,28030,684.6781165364414,240
1,8,False,False,False,False,False,defer,8,0,30000,1,True,18,6.15.0,True,9000,fn05,29273.041666666668,28450,32080,1071.6227561960516,240
1,8,False,False,False,False,False,defer,8,0,30000,1,True,18,6.15.0,True,9000,fn06,29273.041666666668,28450,32080,1071.6227561960516,240
1,8,False,True,False,False,False,sqpoll,8,0,30000,1,True,10,6.15.0,True,9000,fn05,20827.666666666668,20560,21450,230.6430623760928,240
1,8,False,True,False,False,False,sqpoll,8,0,30000,1,True,10,6.15.0,True,9000,fn06,20827.666666666668,20560,21450,230.6430623760928,240
1,8,False,True,False,False,False,sqpoll,8,0,30000,1,True,18,6.15.0,True,9000,fn05,23540.0,22940,25800,585.409400903903,240
1,8,False,True,False,False,False,sqpoll,8,0,30000,1,True,18,6.15.0,True,9000,fn06,23540.0,22940,25800,585.409400903903,240
1,8,False,True,False,False,False,defer,8,0,30000,1,True,10,6.15.0,True,9000,fn05,25415.291666666668,24990,27870,516.4517546979151,240
1,8,False,True,False,False,False,defer,8,0,30000,1,True,10,6.15.0,True,9000,fn06,25415.291666666668,24990,27870,516.4517546979151,240
1,8,False,True,False,False,False,defer,8,0,30000,1,True,18,6.15.0,True,9000,fn05,29224.333333333332,28370,32010,1082.3437018289933,240
1,8,False,True,False,False,False,defer,8,0,30000,1,True,18,6.15.0,True,9000,fn06,29224.333333333332,28370,32010,1082.3437018289933,240
1,8,False,True,True,False,False,sqpoll,8,0,30000,1,True,10,6.15.0,True,9000,fn05,20654.833333333332,20410,21290,200.53878815719307,240
1,8,False,True,True,False,False,sqpoll,8,0,30000,1,True,10,6.15.0,True,9000,fn06,20654.833333333332,20410,21290,200.53878815719307,240
